"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"TRIM67","ORF",0.074,2798,1482,784.962115796998
"KIAA1429","ORF",0.408,1455,942,609.872164948454
"RPA1","ORF",0.278,2051,1110,600.731350560702
"MYC","ORF",-0.109,1977,1046,553.422357106727
"NTRK1","ORF",-1.653,1417,850,509.880028228652
"EGFR","ORF",0.841,1776,937,494.351914414414
"CUL3","ORF",0.707,1555,846,460.267524115756
"TP53","ORF",-1.732,1398,779,434.077968526466
"CCNF","ORF",-0.332,1434,773,416.686889818689
"TIPARP","ORF",-0.453,1064,630,373.026315789474
"KIF14","ORF",0.122,1172,628,336.505119453925
"HSPA1A","ORF",-0.654,1077,599,333.148560817085
"BRD4","ORF",1.371,1141,609,325.049079754601
"PARP1","NON_ORF",1.178,903,516,294.857142857143
"HNRNPL","ORF",1.228,859,496,286.398137369034
"EP300","ORF",0.283,882,501,284.581632653061
"UBC","ORF",0.264,984,528,283.317073170732
"BIRC3","ORF",-1.151,972,523,281.408436213992
"BRCA1","ORF",0.488,822,474,273.328467153285
"TOP3B","ORF",-1.722,697,434,270.238163558106
"CIT","ORF",1.652,943,498,262.994697773065
"EFTUD2","ORF",-0.653,1050,525,262.5
"HSPA5","ORF",-0.622,936,493,259.667735042735
"BAP1","ORF",1.306,974,498,254.624229979466
"SQSTM1","ORF",1.601,814,455,254.330466830467
"YAP1","ORF",-1.17,761,434,247.511169513798
"HSP90AA1","ORF",-1.682,743,428,246.546433378196
"YWHAE","ORF",0.6,687,405,238.755458515284
"NXF1","ORF",0.17,775,430,238.58064516129
"STIP1","ORF",-0.756,734,413,232.382833787466
"HECTD1","ORF",-0.41,700,394,221.765714285714
"MEN1","ORF",-0.955,730,400,219.178082191781
"RHOA","ORF",-0.437,735,399,216.6
"DDX58","ORF",-0.576,769,408,216.468140442133
"CFTR","ORF",0.499,853,429,215.757327080891
"CTNNB1","ORF",0.67,634,369,214.764984227129
"RECQL4","ORF",-0.409,982,456,211.747454175153
"MYCN","ORF",-1.208,930,443,211.020430107527
"SMC5","ORF",-1.786,689,378,207.378809869376
"HUWE1","ORF",-1.076,769,399,207.023407022107
"USP7","ORF",0.607,522,328,206.099616858238
"APEX1","ORF",-1.548,630,359,204.573015873016
"FBXW7","ORF",-0.944,793,402,203.78814627995
"HNRNPU","ORF",-0.119,734,386,202.991825613079
"HIST1H3A","ORF",1.06,590,345,201.737288135593
"MCM2","ORF",-1.106,705,377,201.601418439716
"OBSL1","ORF",-1.132,617,351,199.677471636953
"GSK3B","ORF",0.593,533,324,196.953095684803
"KDM1A","ORF",0.579,484,308,196
"KCNA3","ORF",-0.125,531,322,195.261770244821
"SNW1","ORF",-0.001,532,316,187.699248120301
"LMNA","ORF",-0.059,739,370,185.250338294993
"RICTOR","ORF",1.423,536,314,183.94776119403
"SIRT6","ORF",-1.135,446,286,183.399103139013
"COPS5","ORF",0.992,688,351,179.071220930233
"HNRNPA1","NON_ORF",-0.688,664,344,178.21686746988
"CUL7","ORF",0.211,598,326,177.719063545151
"HDAC6","NON_ORF",0.182,644,338,177.39751552795
"NR3C1","ORF",0.658,522,301,173.565134099617
"PRMT1","ORF",0.327,635,331,172.537007874016
"G3BP1","ORF",0.595,641,332,171.95631825273
"CCDC8","ORF",0.759,496,292,171.903225806452
"PRC1","ORF",-0.419,661,337,171.813918305598
"EPHA2","ORF",1.575,461,281,171.281995661605
"DOT1L","ORF",-0.018,587,317,171.190800681431
"CSNK2A1","ORF",0.425,569,306,164.562390158172
"TMPO","ORF",0.876,581,309,164.339070567986
"FANCD2","ORF",1.196,597,312,163.05527638191
"CIC","ORF",1.483,438,264,159.123287671233
"OGT","NON_ORF",-1.372,631,316,158.250396196513
"ECT2","ORF",0.803,581,303,158.018932874355
"PRKDC","ORF",-0.02,498,280,157.429718875502
"ILF3","ORF",0.289,641,317,156.769110764431
"CDH1","ORF",-1.867,473,272,156.414376321353
"RHOF","ORF",1.227,431,259,155.640371229698
"ZC3H18","ORF",-0.42,645,316,154.815503875969
"MYH9","ORF",0.923,505,278,153.037623762376
"RPN1","ORF",0.148,546,287,150.858974358974
"LARP7","ORF",1.581,737,331,148.658073270014
"SLX4","ORF",0.744,411,247,148.440389294404
"SSRP1","ORF",-1.324,484,268,148.396694214876
"VIM","BOTH",1.569,500,271,146.882
"NCL","ORF",0.883,583,292,146.250428816467
"ACTC1","ORF",1.728,467,261,145.869379014989
"CLTC","ORF",1.915,494,268,145.392712550607
"RPS6","ORF",-0.25,639,304,144.625978090767
"HEXIM1","BOTH",1.705,627,301,144.499202551834
"GRB2","ORF",-1.631,443,253,144.489841986456
"TRRAP","ORF",0.26,429,248,143.365967365967
"PRPF8","ORF",-1.231,565,282,140.750442477876
"DDB1","ORF",-1.812,441,249,140.591836734694
"TUBB","ORF",1.263,496,264,140.516129032258
"SNCA","BOTH",1.181,474,258,140.430379746835
"EED","ORF",-0.279,449,251,140.314031180401
"HSP90B1","ORF",1.447,447,248,137.592841163311
"HNRNPM","NON_ORF",0.377,511,265,137.426614481409
"CHMP4C","ORF",1.672,496,260,136.290322580645
"UBE2O","ORF",-0.013,531,269,136.273069679849
"U2AF2","ORF",-0.162,481,256,136.24948024948
"RCOR1","ORF",-1.188,322,209,135.655279503106
"MATR3","ORF",1.274,452,247,134.975663716814
"IQGAP1","NON_ORF",-1.945,420,238,134.866666666667
"HIST2H2BE","ORF",-1.362,424,239,134.719339622642
"EWSR1","ORF",-1.761,520,264,134.030769230769
"RBBP4","ORF",0.819,388,228,133.979381443299
"HNRNPA2B1","ORF",1.125,487,255,133.521560574949
"TRIM37","ORF",0.374,421,236,132.294536817102
"CDC37","ORF",-1.463,405,230,130.617283950617
"PTEN","ORF",1.785,475,249,130.528421052632
"ENO1","ORF",-1.1,473,248,130.029598308668
"ERBB2","ORF",1.572,375,220,129.066666666667
"BTRC","BOTH",1.927,495,251,127.274747474747
"RPN2","ORF",1.482,511,255,127.250489236791
"MKI67","ORF",-0.483,440,236,126.581818181818
"GOLGA2","ORF",-0.533,424,231,125.85141509434
"ARF6","ORF",-0.623,386,220,125.388601036269
"RC3H2","ORF",-0.781,503,251,125.250497017893
"DHX9","ORF",0.07,458,239,124.718340611354
"NUP155","ORF",0.729,347,207,123.484149855908
"CREBBP","ORF",1.146,317,197,122.425867507886
"FGFR1","ORF",-0.46,375,213,120.984
"USP36","ORF",0.042,430,227,119.83488372093
"FLNA","ORF",-0.487,436,228,119.229357798165
"PDHA1","ORF",-1.12,516,248,119.193798449612
"CBX3","ORF",1.274,381,213,119.07874015748
"UBE2M","ORF",-0.179,462,234,118.519480519481
"CD3EAP","ORF",-0.236,338,200,118.343195266272
"DDX5","ORF",1.144,402,218,118.218905472637
"LRPPRC","BOTH",1.877,583,262,117.742710120069
"USP11","ORF",-0.029,382,212,117.65445026178
"EZR","ORF",-0.672,348,202,117.252873563218
"LMNB1","ORF",1.754,439,226,116.346241457859
"HIST1H2BG","ORF",-1.653,362,205,116.091160220994
"RNF43","BOTH",0.497,304,187,115.029605263158
"ATP1A1","ORF",-0.282,437,224,114.819221967963
"RAB9A","ORF",-1.81,374,207,114.569518716578
"SYNCRIP","ORF",-0.295,484,235,114.101239669421
"DHX15","ORF",0.61,387,210,113.953488372093
"GJA1","ORF",0.216,373,206,113.769436997319
"CDK1","ORF",1.12,370,205,113.581081081081
"HIST1H3C","ORF",0.088,306,186,113.058823529412
"RBM14","ORF",-1.815,376,206,112.86170212766
"RPL10","ORF",-0.976,539,246,112.274582560297
"H2AFY","ORF",-1.428,322,190,112.111801242236
"SNRNP200","ORF",1.005,336,194,112.011904761905
"TRIM33","BOTH",-0.952,326,191,111.90490797546
"CLEC16A","ORF",0.472,402,212,111.800995024876
"SRSF1","ORF",0.086,415,215,111.385542168675
"DYRK1A","ORF",1.007,328,191,111.22256097561
"TARDBP","ORF",0.926,393,209,111.147582697201
"RPA4","NON_ORF",1.447,347,196,110.708933717579
"DDX23","ORF",-0.555,337,193,110.53115727003
"TP53BP1","ORF",1.553,331,191,110.214501510574
"FBXW11","ORF",1.564,305,183,109.8
"SMC1A","ORF",-1.846,293,179,109.354948805461
"DYNC1H1","ORF",-0.881,355,197,109.321126760563
"BRD3","ORF",0.18,305,182,108.603278688525
"HIST1H1E","ORF",-0.154,446,220,108.520179372197
"KRT8","ORF",1.661,289,177,108.404844290657
"SFPQ","ORF",0.099,369,200,108.40108401084
"SRRM2","ORF",1.162,342,192,107.789473684211
"YBX1","ORF",1.754,500,232,107.648
"SMARCA4","ORF",0.141,292,177,107.291095890411
"RHOC","ORF",0.394,377,201,107.164456233422
"LZTS2","ORF",0.611,313,183,106.993610223642
"NUMA1","ORF",-1.583,334,189,106.949101796407
"USP9X","ORF",-1.821,290,176,106.813793103448
"CCT3","ORF",1.159,401,205,104.800498753117
"SNAI1","BOTH",-0.216,391,202,104.358056265985
"TUFM","ORF",-0.55,491,226,104.024439918534
"RPS8","ORF",1.022,496,227,103.889112903226
"GLDC","ORF",1.445,235,156,103.557446808511
"CCT5","BOTH",-0.457,353,191,103.345609065156
"GSK3A","ORF",-0.006,298,175,102.768456375839
"HADHA","ORF",1.798,383,198,102.360313315927
"RPS3A","ORF",1.25,492,224,101.983739837398
"CAD","ORF",1.593,334,184,101.365269461078
"SNRPA","ORF",0.126,364,192,101.274725274725
"B3GNT2","NON_ORF",1.487,403,202,101.250620347395
"DCTN1","ORF",1.461,320,180,101.25
"SRC","ORF",0.51,313,178,101.226837060703
"CCT4","ORF",1.604,346,187,101.066473988439
"SNRPB","ORF",0.338,384,197,101.065104166667
"EIF4A3","ORF",0.438,365,192,100.997260273973
"ITGA4","ORF",-0.914,385,197,100.802597402597
"ACACA","ORF",1.915,304,175,100.740131578947
"MAP1B","ORF",1.607,363,191,100.498622589532
"CTBP1","BOTH",-0.574,240,155,100.104166666667
"DSP","ORF",-1.865,299,173,100.096989966555
"NOP56","ORF",-1.106,442,210,99.7737556561086
"UBR5","ORF",0.921,362,190,99.7237569060773
"MYO6","ORF",-0.66,291,170,99.3127147766323
"JUP","ORF",1.186,341,184,99.2844574780059
"RPS24","BOTH",1.517,398,198,98.5025125628141
"USP14","ORF",-0.348,348,185,98.3477011494253
"SMURF1","ORF",-1.237,330,180,98.1818181818182
"RBMX","ORF",1.785,334,181,98.0868263473054
"RNF123","ORF",0.077,303,172,97.6369636963696
"RIOK1","ORF",0.12,418,202,97.6172248803828
"STX6","ORF",-1.732,286,167,97.513986013986
"USP15","ORF",-0.413,322,177,97.2950310559006
"MTDH","ORF",-0.936,319,176,97.1034482758621
"MTA2","ORF",-0.918,291,168,96.9896907216495
"HSPH1","ORF",1.686,314,174,96.4203821656051
"RPL23A","ORF",1.261,446,207,96.0739910313901
"UPF1","ORF",-0.267,385,192,95.7506493506494
"THRAP3","ORF",0.287,320,175,95.703125
"UBQLN2","ORF",-1.431,435,204,95.6689655172414
"PLEC","ORF",-0.678,271,161,95.6494464944649
"IGF2BP3","ORF",1.87,394,194,95.5228426395939
"ZC3HAV1","ORF",-1.765,470,211,94.7255319148936
"ZFPL1","ORF",0.397,298,168,94.7114093959731
"LARP1","NON_ORF",0.195,366,186,94.5245901639344
"ACTG1","ORF",0.184,340,179,94.2382352941176
"ATP5B","ORF",-0.053,404,195,94.1212871287129
"EIF4G1","ORF",0.224,327,175,93.6544342507645
"TRAF2","ORF",-1.178,309,170,93.5275080906149
"SF3B1","ORF",1.268,403,194,93.3895781637717
"STAT3","ORF",-0.617,252,153,92.8928571428571
"DPP4","ORF",1.041,297,166,92.7811447811448
"DLST","ORF",-0.076,342,178,92.6432748538012
"CUL2","ORF",1.81,407,194,92.4717444717445
"IGF1R","ORF",-1.035,313,170,92.332268370607
"PHB2","ORF",1.739,384,188,92.0416666666667
"C1QBP","ORF",-1.716,517,218,91.9226305609284
"LATS1","ORF",-0.021,286,162,91.7622377622378
"HDAC4","ORF",0.777,273,158,91.4432234432234
"GRWD1","ORF",0.146,309,168,91.3398058252427
"CBL","ORF",-1.059,310,168,91.0451612903226
"PSMD3","ORF",0.545,292,163,90.9897260273973
"SPPL3","ORF",1.528,296,164,90.8648648648649
"RAD18","ORF",1.121,334,174,90.6467065868263
"RPS9","ORF",0.69,413,193,90.1912832929782
"ACLY","ORF",0.65,250,150,90
"CTTN","ORF",0.28,299,164,89.9531772575251
"SEC16A","ORF",-1.144,318,169,89.814465408805
"DDX6","NON_ORF",-0.216,378,184,89.5661375661376
"SF3A1","ORF",-0.997,323,170,89.4736842105263
"SF3B3","ORF",0.811,347,176,89.2680115273775
"LIMA1","ORF",1.705,313,167,89.1022364217253
"RELA","ORF",-1.271,280,157,88.0321428571429
"RPL15","ORF",1.109,394,186,87.8071065989848
"LRRC31","ORF",-0.881,136,109,87.3602941176471
"PHF21A","ORF",-0.022,215,137,87.2976744186046
"DDX24","ORF",-1.104,414,190,87.1980676328502
"COPA","ORF",0.7,313,165,86.9808306709265
"PSMC5","ORF",1.111,321,167,86.8816199376947
"AIMP2","ORF",1.762,330,169,86.5484848484848
"RAB4A","ORF",-0.4,285,157,86.4877192982456
"RIPK4","ORF",0.424,316,165,86.1550632911392
"IPO5","ORF",0.161,301,161,86.1162790697674
"DHX30","ORF",-0.644,389,183,86.0899742930591
"DCPS","ORF",-1.429,272,153,86.0625
"MAPK1","ORF",-1.478,283,156,85.9929328621908
"RNPS1","ORF",0.427,269,152,85.8884758364312
"UBA1","NON_ORF",-1.257,252,147,85.75
"SMC2","ORF",1.026,216,136,85.6296296296296
"CAPRIN1","ORF",-1.335,334,169,85.5119760479042
"MDC1","ORF",-0.71,292,158,85.4931506849315
"PHGDH","ORF",-0.616,285,156,85.3894736842105
"RAD50","ORF",0.446,243,144,85.3333333333333
"MLLT4","ORF",0.111,211,134,85.0995260663507
"NHLRC2","ORF",-0.48,241,143,84.850622406639
"APC","ORF",1.873,218,136,84.8440366972477
"RB1CC1","ORF",1.817,242,143,84.5
"RPL35","ORF",0.944,414,186,83.5652173913043
"SMARCC2","ORF",-0.062,235,140,83.4042553191489
"FKBP8","ORF",1.391,359,173,83.3676880222841
"HNRNPA3","ORF",1.174,319,163,83.2884012539185
"RUFY1","ORF",0.644,346,169,82.5462427745665
"PDIA4","ORF",-1.633,334,166,82.502994011976
"HERC2","ORF",-1.585,295,156,82.4949152542373
"TAF15","ORF",1.138,266,148,82.3458646616541
"XRN2","ORF",1.895,285,153,82.1368421052632
"RPL10A","ORF",1.848,378,176,81.9470899470899
"CTNNA1","ORF",-0.543,243,141,81.8148148148148
"TRIM31","ORF",-1.357,334,165,81.5119760479042
"TFRC","ORF",0.204,328,163,81.0030487804878
"PYHIN1","ORF",0.11,249,142,80.9799196787149
"PHLPP1","ORF",-0.613,212,131,80.9481132075472
"FGFR4","ORF",-1.18,286,152,80.7832167832168
"PCM1","ORF",0.346,286,152,80.7832167832168
"CALM3","ORF",1.055,206,129,80.7815533980583
"FAF2","ORF",0.717,321,161,80.7507788161994
"PSMD1","ORF",0.391,321,161,80.7507788161994
"SEC62","ORF",0.37,306,157,80.5522875816993
"CTCF","ORF",1.08,318,160,80.503144654088
"CUL5","ORF",-1.168,347,167,80.371757925072
"MCM3","ORF",-1.693,255,143,80.1921568627451
"MSH6","ORF",0.333,208,129,80.0048076923077
"DNAJB6","ORF",-1.35,271,147,79.7380073800738
"PRPF40A","ORF",0.518,286,151,79.7237762237762
"AMOT","NON_ORF",-1.043,229,135,79.585152838428
"HIST1H1A","ORF",1.661,302,155,79.5529801324503
"MCM4","ORF",-0.975,217,131,79.0829493087558
"ATM","ORF",-0.984,204,127,79.0637254901961
"SRRT","ORF",-0.16,234,136,79.042735042735
"TUBA4A","ORF",0.881,304,155,79.0296052631579
"COPB2","ORF",0.314,270,146,78.9481481481481
"PDIA3","ORF",-1.252,345,165,78.9130434782609
"SNIP1","ORF",-0.369,289,151,78.8961937716263
"GNB2","ORF",0.599,310,156,78.5032258064516
"BAG3","ORF",-0.624,335,162,78.3402985074627
"DDOST","NON_ORF",1.785,276,147,78.2934782608696
"DNAJC7","ORF",-0.514,276,147,78.2934782608696
"NUDC","BOTH",1.376,223,132,78.1345291479821
"TNRC6A","ORF",-0.642,213,129,78.1267605633803
"LMAN1","ORF",-0.689,332,161,78.0753012048193
"CDC73","NON_ORF",0.582,277,147,78.0108303249097
"FLNB","ORF",0.921,234,135,77.8846153846154
"ZNF746","ORF",-1.322,249,139,77.5943775100401
"TNRC6B","ORF",-1.33,222,131,77.3018018018018
"HGS","ORF",-0.351,299,152,77.2709030100335
"TRAF6","ORF",-0.608,243,137,77.238683127572
"TBK1","ORF",0.685,265,143,77.1660377358491
"TMPRSS11B","ORF",-0.355,258,141,77.0581395348837
"ESYT1","ORF",0.135,301,152,76.7574750830565
"QARS","ORF",0.5,290,149,76.5551724137931
"ADAR","ORF",0.095,208,126,76.3269230769231
"FLII","ORF",-0.564,230,132,75.7565217391304
"CALCOCO2","ORF",1.248,305,152,75.7508196721311
"SPTBN1","ORF",1.326,305,152,75.7508196721311
"KBTBD4","ORF",-1.939,231,132,75.4285714285714
"NOP2","ORF",1.575,315,154,75.2888888888889
"PAX6","ORF",0.361,198,122,75.1717171717172
"PRKCZ","ORF",-0.848,276,144,75.1304347826087
"NTRK3","ORF",0.585,239,134,75.1297071129707
"VDAC2","ORF",0.329,312,153,75.0288461538461
"IKBKG","ORF",-1.649,265,141,75.022641509434
"PTBP1","ORF",-1.337,300,150,75
"STAG2","NON_ORF",-1.816,162,110,74.6913580246914
"RNF8","ORF",-1.223,282,145,74.5567375886525
"GIGYF2","ORF",-0.123,190,119,74.5315789473684
"SMC4","ORF",0.738,203,123,74.5270935960591
"KLF8","ORF",1.692,220,128,74.4727272727273
"NCOR1","ORF",-0.724,238,133,74.3235294117647
"MRE11A","ORF",0.169,208,124,73.9230769230769
"DDX1","ORF",1.749,313,152,73.814696485623
"MSN","NON_ORF",-1.424,229,130,73.7991266375546
"RAD21","ORF",0.815,255,137,73.6039215686274
"SRRM1","ORF",1.147,255,137,73.6039215686274
"TUBB3","ORF",1.142,279,143,73.2939068100358
"SF3B2","ORF",-0.231,363,163,73.1928374655647
"PPP2CA","ORF",1.199,268,140,73.1343283582089
"PSMC3","ORF",-1.616,276,142,73.0579710144928
"AHNAK","ORF",-0.351,246,134,72.9918699186992
"AATF","ORF",0.026,261,138,72.9655172413793
"FLT3","ORF",-1.642,157,107,72.9235668789809
"AP2B1","ORF",1.703,247,134,72.6963562753036
"NIN","ORF",0.311,237,131,72.4092827004219
"DTX2","ORF",-0.783,197,119,71.8832487309645
"NOLC1","ORF",0.936,232,129,71.7284482758621
"DDX54","BOTH",-1.182,274,140,71.5328467153285
"TMPRSS4","ORF",-0.966,182,114,71.4065934065934
"SIN3A","ORF",0.766,223,126,71.1928251121076
"PIAS1","ORF",-0.02,224,126,70.875
"MTHFD1","ORF",-1.741,221,125,70.7013574660633
"FTSJ3","ORF",-0.205,302,146,70.5827814569536
"SDHA","ORF",-1.775,298,145,70.5536912751678
"PPARG","BOTH",1.097,191,116,70.4502617801047
"PTK2","ORF",-0.71,188,115,70.3457446808511
"RNF149","BOTH",0.538,342,155,70.2485380116959
"HTT","ORF",-0.52,237,129,70.2151898734177
"TMPRSS2","ORF",-1.252,212,122,70.2075471698113
"RPTOR","ORF",0.008,227,126,69.9383259911894
"PNN","ORF",0.293,213,122,69.8779342723005
"MAP4","ORF",1.301,231,127,69.8225108225108
"SP1","ORF",-1.58,224,125,69.7544642857143
"AKAP1","ORF",-0.817,308,146,69.2077922077922
"SMARCB1","ORF",-0.968,237,128,69.1308016877637
"CXADR","ORF",-1.209,256,133,69.09765625
"PRPF6","ORF",0.249,253,132,68.8695652173913
"NDC80","ORF",0.575,199,117,68.7889447236181
"LNX1","ORF",-1.171,281,139,68.7580071174377
"GART","ORF",1.056,196,116,68.6530612244898
"DCAF4","ORF",-0.407,235,127,68.6340425531915
"HIST1H2BD","ORF",-1.334,210,120,68.5714285714286
"ITFG1","ORF",0.616,388,163,68.4768041237113
"TOP2B","ORF",-0.154,200,117,68.445
"DHX8","ORF",-1.432,207,119,68.4106280193237
"RLIM","ORF",-0.382,255,132,68.3294117647059
"PRPF31","ORF",0.105,252,131,68.0992063492064
"SENP3","ORF",0.79,226,124,68.0353982300885
"SMARCA2","ORF",-1.351,223,123,67.8430493273543
"DNAJA3","ORF",-0.202,270,135,67.5
"FAF1","ORF",-0.376,239,127,67.4853556485356
"CALR","ORF",-0.382,287,139,67.3205574912892
"PAN2","ORF",1.442,283,138,67.2932862190813
"EIF4A1","ORF",-0.042,271,135,67.2509225092251
"HNF4A","ORF",-1.078,174,108,67.0344827586207
