"from","to"
"ECT2","H2AFY"
"ECT2","FYN"
"BASP1","KIF20A"
"BASP1","LCK"
"BASP1","RHOH"
"LCK","USO1"
"CD55","LCK"
"CD55","KIF20A"
"CD2","FYN"
"CD2","LCK"
"ATP1B3","RHOH"
"GDI2","H2AFY"
"FBXW7","SLC16A3"
"FBXW7","PTGDS"
"FYN","IGHA1"
"FBXW7","SNX8"
"CD247","LCK"
"CD247","FYN"
"CCNE2","FBXW7"
"KIF20A","P4HA2"
"RHOH","SUOX"
"KIF20A","KIF20A"
"H2AFY","KIF20A"
"CHD4","KIF20A"
"FYN","KIF20A"
"CHD4","H2AFY"
"H2AFY","MTA2"
"H2AFY","KIF20A"
"H2AFY","RHOH"
"LCK","RHOH"
"FYN","RHOH"
"H2AFY","RHOH"
"LCK","LCK"
"FYN","LCK"
"LCK","RHOH"
"CHD4","MTA2"
"CHD4","CHD4"
"CHD4","H2AFY"
"CHD4","FBXW7"
"CHD4","KIF20A"
"CHD4","MTA2"
"MTA2","MTA2"
"H2AFY","MTA2"
"FBXW7","FBXW7"
"CHD4","FBXW7"
