"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"KRAS","BOTH",2.433,1814,1611,1430.71719955899
"NTRK1","BOTH",-3.183,1655,1532,1418.1413897281
"TP53","BOTH",-3.885,1642,1477,1328.58038976858
"ESR2","ORF",-2.629,1587,1419,1268.78449905482
"RAF1","BOTH",2.507,1343,1181,1038.54132539092
"EZH2","BOTH",7.319,1156,1040,935.640138408305
"PARP1","BOTH",6.058,1032,939,854.380813953488
"BRCA1","BOTH",3.959,943,856,777.026511134677
"TGOLN2","ORF",-2.002,931,842,761.50805585392
"RHOA","ORF",5.538,897,806,724.231884057971
"NXF1","BOTH",-1.961,883,795,715.770101925255
"YAP1","BOTH",-2.618,870,783,704.7
"MEN1","BOTH",3.112,845,763,688.957396449704
"MOV10","ORF",-2.023,866,768,681.090069284065
"STIP1","BOTH",4.431,846,751,666.667848699764
"YWHAZ","ORF",6.924,802,724,653.586034912718
"COPS5","ORF",4.052,810,726,650.711111111111
"AR","BOTH",2.614,744,693,645.495967741935
"KIF23","BOTH",2.68,814,709,617.544226044226
"PML","ORF",-4.188,706,659,615.128895184136
"SNRNP70","ORF",-2.163,831,708,603.205776173285
"XRCC6","ORF",-3.332,745,663,590.025503355705
"PRC1","ORF",2.975,765,671,588.550326797386
"CUL7","BOTH",2.656,683,617,557.377745241581
"HEXIM1","BOTH",-2.455,713,630,556.661991584853
"YWHAB","ORF",2.611,674,607,546.660237388724
"PRNP","ORF",-2.209,661,601,546.446293494705
"HDAC2","ORF",2.699,634,587,543.484227129338
"CAND1","BOTH",2.339,717,611,520.670850767085
"TMPO","BOTH",1.994,662,583,513.42749244713
"IFI16","BOTH",2.404,610,558,510.432786885246
"FN1","ORF",2.858,640,569,505.8765625
"AURKB","BOTH",4.12,604,545,491.763245033113
"PIH1D1","BOTH",-2.013,586,524,468.559726962457
"CAV1","BOTH",-4.517,564,513,466.61170212766
"EPHA2","NON_ORF",2.351,559,508,461.652951699463
"SNCA","ORF",3.193,555,506,461.326126126126
"TOP1","BOTH",2.327,575,513,457.685217391304
"PTEN","BOTH",-3.516,551,500,453.720508166969
"UBE2M","BOTH",-1.962,530,481,436.530188679245
"ACTC1","ORF",-2.102,540,485,435.601851851852
"HSPA9","BOTH",2.088,563,492,429.953818827709
"YBX1","ORF",2.728,547,483,426.488117001828
"TUBB","ORF",5.447,537,478,425.482309124767
"MKI67","BOTH",6.836,525,472,424.350476190476
"LYN","BOTH",2.011,528,470,418.371212121212
"LMNB1","ORF",4.117,526,468,416.395437262357
"EEF1A1","BOTH",-3.588,553,479,414.902350813743
"LAMP1","BOTH",-2.927,515,459,409.08932038835
"RPL11","ORF",-2.893,564,480,408.510638297872
"ENO1","BOTH",2.246,533,462,400.457786116323
"HSF1","ORF",2.535,490,440,395.102040816327
"USP36","BOTH",-2.309,484,434,389.165289256198
