"from","to"
"CSNK2A1","CSNK2B"
"CSNK2A1","HNRNPA2B1"
"CSNK2A1","ZHX1"
"CSNK2A1","RANGAP1"
"CSNK2A1","SSRP1"
"CSNK2A1","SUPT16H"
"CHD4","CSNK2A1"
"CSNK2A1","RPS18"
"CSNK2A1","HMGA1"
"CSNK2A1","MCM2"
"ACIN1","CSNK2A1"
"CSNK2A1","FTSJ3"
"CSNK2A1","SF3B2"
"CSNK2A1","SUPT5H"
"CSNK2A1","NCAPD2"
"CSNK2A1","PRPF40A"
"CSNK2A1","HSP90AB1"
"CSNK2A1","RPL13"
"AKT1","CSNK2A1"
"CSNK2A1","DAXX"
"CSNK2A1","GLTSCR2"
"CCT5","CSNK2A1"
"CSNK2A1","HSPB1"
"ARNTL","CSNK2A1"
"CSNK2A1","PGK1"
"CBX4","CSNK2A1"
"CSNK2A1","STIP1"
"CSNK2A1","P4HA1"
"CSNK2A1","HCFC1"
"CDK2","CSNK2A1"
"CSNK2A1","UPF1"
"CSNK2A1","EIF3A"
"CSNK2A1","HDGF"
"CSNK2A1","RPS28"
"CSNK2A1","POLR1A"
"CSNK2A1","DDX41"
"CSNK2A1","ZC3H4"
"CSNK2A1","FOS"
"CHD3","CSNK2A1"
"CSNK2A1","SIRT1"
"CSNK2A1","SRC"
"AURKA","CSNK2A1"
"CSNK2A1","FXR2"
"CSNK2A1","RECQL4"
"CSNK2A1","SMARCA4"
"CSNK2A1","PPP1CA"
"CSNK2A1","SETD1A"
"CSNK2A1","HMGA2"
"CAPZB","CSNK2A1"
"CSNK2A1","CUL3"
"BAP1","CSNK2A1"
"CLK2","CSNK2A1"
"CSNK2A1","HIST1H3C"
"GAPDH","STIP1"
"GAPDH","YWHAE"
"GAPDH","PGK1"
"GAPDH","MAP3K5"
"ENO1","GAPDH"
"ENO2","GAPDH"
"GAPDH","TSHZ3"
"GAPDH","HSPB1"
"GAPDH","PFKL"
"GAPDH","HNRNPA2B1"
"GAPDH","HCFC1"
"GAPDH","PAK2"
"CNDP2","GAPDH"
"DNAJC7","GAPDH"
"GAPDH","TNIP1"
"GAPDH","PHB2"
"CCT5","GAPDH"
"GAPDH","PSMD11"
"GAPDH","POU5F1"
"GAPDH","SIRT1"
"GAPDH","GSK3B"
"CUL3","GAPDH"
"CDK2","GAPDH"
"AKT1","GAPDH"
"AP2M1","GAPDH"
"GAPDH","HSP90AB1"
"GAPDH","TRAP1"
"GAPDH","PRPF40A"
"GAPDH","TUFM"
"CFL1","GAPDH"
"EWSR1","GAPDH"
"GAPDH","MCM2"
"GAPDH","MCM5"
"CHD3","GAPDH"
"CHD4","GAPDH"
"GAPDH","RECQL4"
"GAPDH","KIF14"
"GAPDH","PRC1"
"GAPDH","NBR1"
"CAPZB","GAPDH"
"GAPDH","PRMT1"
"BAP1","GAPDH"
"DET1","GAPDH"
"GAPDH","RNF130"
"ILF2","SUPT5H"
"IGF2BP3","ILF2"
"ILF2","MCM2"
"ILF2","MCM5"
"ILF2","MCM7"
"ILF2","SHMT2"
"FTSJ3","ILF2"
"ILF2","UPF1"
"ILF2","MYBBP1A"
"ILF2","TRIM27"
"AQR","ILF2"
"ILF2","SF3B2"
"CUL3","ILF2"
"CUL5","ILF2"
"CDK2","ILF2"
"ILF2","YWHAE"
